,galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,chi2_reduced,n_data,acceptance_fraction
78,NGC5005,0.5045152037597802,0.4267139421852049,0.6094111669707063,0.5244788029512264,0.4621175209987956,0.5871923356808074,777621.7576880008,141784.19625575945,5613452.14101287,173.14691937524472,23.045224302410187,1220.543063876053,0.17534641822624145,18,0.4841875
79,NGC5033,0.34897629733357444,0.2939205704215681,0.4097176066398035,0.4315332188060683,0.3781456003108039,0.49136898534488654,163878.15782408745,158115.26692293986,169260.8843741178,9.368413359758495,8.372311427508947,10.563564268105532,3.127599756880224,22,0.591046875
80,NGC5055,0.3287737345254971,0.29506992522075737,0.35615131011076867,0.7057334262545525,0.5574967405250029,0.8843232705384602,118279.62022700316,114751.07518357303,124009.05733719504,14.886407665843121,12.28750562235525,17.847068417210025,3.1467784102938263,28,0.53603125
81,NGC5371,0.2959356696167118,0.2585445907961417,0.33432277039578423,0.6954823306249885,0.5509918122965578,0.877155814220986,146184.71615712947,132710.65815377192,159512.09382144958,6.416965422396051,5.85463696673399,6.97386319336779,5.09047410237254,19,0.5815312499999999
82,NGC5585,0.34126780497628934,0.2814490289061764,0.41486827079710464,0.7032333678283146,0.5566194258767274,0.8839518197952612,63397.67820886107,49137.440061661946,110288.26565961097,28.95228647669614,19.502695586404464,59.22467633717267,6.6413240238038425,24,0.526796875
83,NGC5907,0.8856329841920542,0.8605995966626269,0.9070428369482988,0.7078289673357259,0.5626893595292539,0.8832083995326857,935223.0540440287,393779.11179028446,2277297.0781344017,750.1592755841654,278.1491083357567,1924.9086857584841,5.960663837460803,19,0.49910937499999997
84,NGC5985,0.35814829095349837,0.299116282594155,0.42532680656003796,0.6552514904959711,0.526237048493101,0.8152021631588116,318846.8169085311,305545.11283913895,330404.3555191031,8.503887686528332,7.949909981952473,9.112395100953226,2.419173186320946,33,0.589609375
85,NGC6015,0.5334850574789257,0.4082402431907403,0.7032489295819169,0.694031319505386,0.5524095954440104,0.882783687468573,86573.68800048223,82376.40984659329,91265.94995229195,9.397153762737336,7.871456083439261,14.283971772790348,9.417894194435323,44,0.49515625
86,NGC6195,0.4170114174911353,0.3697907258469207,0.4645663681823981,0.7159097125123195,0.689188078247767,0.741983590105394,913839.2081571177,351671.17968271975,2838530.5581836635,453.4513861522483,139.8607996508303,1518.9906127857055,1.899867833224975,23,0.5176406250000001
87,NGC6503,0.4488841784146582,0.4038320633615491,0.4987995132393186,0.6985587730918822,0.5568012532342521,0.8799904979994154,51542.44755276795,50810.03614666633,52250.09584087598,8.721917639162049,7.88066234415373,9.700461811548061,1.6644009259020023,31,0.5950312499999999
